Year,Latitude,Longitude,Magnitude
2012,2.327,93.063,8.6
2012,0.802,92.463,8.2
2012,-18.972,168.741,6.3
2012,-32.625,-71.365,6.7
2012,32.747,47.726,5.4
2012,41.549,46.789,5.7
2012,26.175,92.889,5.4
2012,38.612,70.354,5.7
2012,-17.678,-69.591,6.3
2012,-16.764,-43.999,4.1
2012,44.89,11.23,6.1
2012,44.831,11.49,5.1
2012,42.645,22.968,5.6
2012,44.851,11.086,5.9
2012,-7.692,106.371,5.8
2012,36.42,28.88,6.1
2012,36.023,69.351,5.8
2012,37.294,42.325,5.3
2012,27.767,100.781,5.5
2012,43.433,84.7,6.3
2012,32.978,119.593,4.9
2012,2.707,96.045,6.5
2012,-9.694,159.727,6.4
2012,38.329,46.826,6.5
2012,49.8,145.064,7.7
2012,-1.315,120.096,6.3
2012,12.139,-88.59,7.3
2012,10.811,126.638,7.6
2012,10.085,-85.315,7.6
2012,27.575,103.983,5.6
2012,23.739,81.314,5
2012,52.788,-132.101,7.7
2012,13.988,-91.895,7.3
2012,23.005,95.885,6.8
2012,40.411,90.355,5.1
2012,33.506,59.571,5.7
2012,37.89,143.949,7.2
2013,55.393,-134.652,7.5
2013,4.927,95.907,6.1
2013,-10.799,165.114,7.9
2013,-10.928,166.018,7
2013,1.135,-77.393,7
2013,55.15,61.41,4.2
2013,27.226,103.071,4.9
2013,-15.748,-71.425,5.3
2013,25.98,99.812,5.4
2013,40.119,77.466,5.1
2013,23.828,121.215,6
2013,28.428,51.593,6.3
2013,15.52,-87.159,5.4
2013,34.369,134.828,5.8
2013,28.033,61.996,7.7
2013,33.958,139.352,5.8
2013,31.817,-97.088,2.1
2013,46.221,150.788,7.2
2013,30.308,102.888,6.6
2013,18.081,-102.182,6
2013,34.526,70.22,5.5
2013,33.061,75.863,5.7
2013,26.56,57.77,6.1
2013,36.703,5.261,4.9
2013,54.892,153.221,8.3
2013,7.275,124.898,5.7
2013,23.789,121.141,6.3
2013,54.263,86.173,5.3
2013,-8.305,116.058,5.1
2013,4.645,96.665,6.1
2013,-8.803,113.002,5.7
2013,36.534,3.086,4.8
2013,-41.704,174.337,6.5
2013,34.512,104.262,6
2013,33.297,75.95,5.2
2013,38.689,22.695,5.5
2013,30.046,97.957,5.7
2013,-41.731,174.027,6.5
2013,16.878,-99.498,6.2
2013,28.239,99.328,5.2
2013,28.243,99.35,5.8
2013,14.606,-92.121,6.4
2013,26.951,65.501,7.7
2013,-16.15,-74.87,7.1
2013,27.183,65.505,6.8
2013,35.514,23.252,6.6
2013,9.88,124.117,7.1
2013,5.103,95.971,5.5
2013,37.2,144.6,7.1
2013,38.41,68.89,5.2
2013,-60.274,-46.401,7.7
2013,44.599,124.168,5.3
2013,29.275,51.313,5.7
2014,27.15,54.448,5.3
2014,4.557,-76.644,5.6
2014,19.043,-66.81,6.4
2014,-40.66,175.814,6.1
2014,-7.986,109.265,6.1
2014,38.208,20.453,6.1
2014,26.589,57.741,5.3
2014,38.244,20.379,6
2014,35.937,-97.271,4.1
2014,35.905,82.586,6.9
2014,-30.686,121.332,4.5
2014,33.684,131.825,6.3
2014,-19.965,-70.814,6.7
2014,33.863,-117.835,5.1
2014,-19.61,-70.769,8.2
2014,-20.571,-70.493,7.7
2014,28.174,103.619,5.4
2014,12.403,-86.378,6.1
2014,-6.586,155.049,7.1
2014,-11.27,162.148,7.6
2014,-11.463,162.051,7.4
2014,12.151,-86.281,5.2
2014,17.397,-100.972,7.2
2014,-6.755,155.024,7.5
2014,19.656,99.67,6.1
2014,17.235,-100.746,6.4
2014,26.387,68.358,4.5
2014,49.799,8.69,3.6
2014,41.115,19.777,5
2014,40.24,25.33,6.9
2014,25,97.845,5.9
2014,-29.977,-177.725,6.9
2014,51.849,178.735,7.9
2014,14.728,-92.578,6.9
2014,37.005,142.453,6.5
2014,35.524,-97.146,3.9
2014,58.306,-136.96,6.1
2014,17.682,-95.653,6.3
2014,36.841,3.301,5.5
2014,27.189,103.409,6.2
2014,-26.99,26.705,5.5
2014,-0.018,-78.322,5.1
2014,28.125,103.546,5
2014,32.663,47.673,6.2
2014,38.216,-122.312,6.1
2014,6.864,125.233,5.2
2014,-13.843,-71.695,5.1
2014,23.383,100.47,6.1
2014,-32.108,-110.811,7
2014,12.526,-88.123,7.3
2014,1.893,126.522,7.1
2014,30.34,101.737,5.9
2014,36.641,137.888,6.2
2014,23.358,100.533,5.6
2014,36.492,3.025,4.9
2015,29.353,103.199,5.3
2015,39.856,142.881,6.7
2015,-16.431,168.148,6.4
2015,23.01,101.755,4.5
2015,44.534,18.934,3.6
2015,44.133,85.568,5.1
2015,34.671,73.278,5.4
2015,-15.693,-71.934,4.5
2015,23.5,98.9,5.5
2015,44.088,19.861,4.4
2015,6.8,-73.01,6.2
2015,33.15,115.8,4.6
2015,-4.729,152.562,7.5
2015,24.203,122.316,6.4
2015,28.231,84.731,7.8
2015,31.529,140.213,5.7
2015,-5.462,151.875,7.5
2015,27.809,86.066,7.3
2015,27.839,140.493,7.8
2015,5.987,116.541,6
2015,26.638,90.41,5.3
2015,37.6,78.2,6.4
2015,10.169,125.891,6.1
2015,-9.307,158.403,6.7
2015,-10.401,165.141,7
2015,33.856,73.193,5.1
2015,52.214,-169.399,6.9
2015,-2.629,138.528,7
2015,8.231,-77.315,5.9
2015,-2.141,28.897,5.8
2015,13.668,-88.478,4.5
2015,-31.573,-71.674,8.3
2015,-0.59,131.27,6.6
2015,-25.442,-64.632,5.8
2015,36.524,70.368,7.5
2015,-8.338,124.875,6.5
2015,8.477,-71.365,5.3
2015,-29.439,-72.105,6.9
2015,31.001,128.873,6.7
2015,38.67,20.6,6.5
2015,40.376,73.204,5.6
2015,-8.899,158.422,6.8
2015,8.48,-71.42,5.1
2015,-10.77,-71.41,7.6
2015,-10.07,-70.98,7.6
2015,38.211,72.78,7.2
2015,15.802,-93.633,6.6
2015,36.494,71.126,6.3
2016,24.804,93.651,6.7
2016,-3.873,127.229,5.6
2016,59.658,-153.452,7.1
2016,35.649,-3.682,6.3
2016,22.97,120.46,6.4
2016,-4.952,94.33,7.8
2016,36.473,71.131,6.6
2016,23.094,94.865,6.9
2016,32.791,130.754,7
2016,0.35,-80.16,7.8
2016,-16.043,167.379,7
2016,32.022,95.027,5.2
2016,0.495,-79.616,6.9
2016,36.431,3.517,5.4
2016,-2.097,100.665,6.6
2016,1.279,126.371,6.3
2016,38.881,70.559,5
2016,18.543,145.507,7.7
2016,24.134,111.478,4.9
2016,-8.194,117.814,5.6
2016,-22.477,173.117,7.2
2016,-15.64,-71.68,5.5
2016,-55.285,-31.877,7.4
2016,40.394,143.68,6
2016,42.704,13.238,6.2
2016,20.923,94.569,6.8
2016,-37.359,179.146,7
2016,-1.036,31.618,5.9
2016,42.008,21.488,5.1
2016,35.781,129.216,5.4
2016,-2.65,29.06,4.8
2016,12.442,-86.515,5.5
2016,34.905,73.682,5.4
2016,35.374,133.809,6.2
2016,42.956,13.067,6.1
2016,42.84,13.11,6.6
2016,35.988,-96.805,5
2016,-42.737,173.054,7.8
2016,37.393,141.387,6.9
2016,11.96,-88.835,6.9
2016,39.273,73.978,6.6
2016,27.802,86.532,5.4
2016,51.613,16.157,4.2
2016,9.949,-83.807,5.3
2016,-15.44,-70.93,6.2
2016,5.283,96.168,6.5
2016,43.823,86.345,6
2016,-10.681,161.327,7.8
2016,-10.749,161.132,6.9
2016,-4.505,153.522,7.9
2016,0.93,-79.84,5.4
2016,-43.517,-74.391,7.6
2017,24.015,92.018,5.7
2017,-19.373,176.052,6.9
2017,28.2,53.107,5
2017,-20.16,46.647,5.5
2017,42.529,13.282,5.7
2017,-6.246,155.172,7.9
2017,39.599,26.065,5.3
2017,3.449,-74.672,5.5
2017,25.191,63.264,6.3
2017,9.907,125.452,6.5
2017,-8.44,30.031,5.9
2017,9.831,125.496,5.7
2017,17.399,96,5.1
2017,-8.492,115.323,5.6
2017,25.938,99.841,5
2017,35.776,60.436,6.1
2017,13.77,120.935,5.9
2017,13.766,-89.155,4.8
2017,-33.038,-72.062,6.9
2017,5.504,125.066,6.9
2017,59.852,-136.677,6.2
2017,39.494,71.444,6
2017,37.643,75.31,5.4
2017,39.816,48.57,5.1
2017,37.769,57.206,5.6
2017,-3.043,32.888,4.4
2017,38.764,27.778,4.9
2017,-1.292,120.431,6.6
2017,38.93,26.365,6.3
2017,14.909,-92.009,6.9
2017,27.64,85.17,3.2
2017,13.717,-90.972,6.8
2017,-19.45,34.488,5.6
2017,11.127,124.629,6.5
2017,54.443,168.857,7.7
2017,-16.416,-73.636,6.4
2017,36.929,27.414,6.6
2017,-33.201,-70.614,5.4
2017,33.193,103.855,6.5
2017,44.302,82.832,6.3
2017,-16.299,-73.474,5.6
2017,-10.721,-74.566,5.8
2017,40.783,13.939,4.2
2017,10.954,124.707,5
2017,14.761,-94.103,8.2
2017,18.339,-98.68,7.1
2017,16.626,-95.078,6.1
2017,7.562,124.743,5.7
2017,-21.697,169.149,6.7
2017,-3.745,127.752,6.1
2017,-21.648,168.859,6.6
2017,34.911,45.959,7.3
2017,9.515,-84.487,6.5
2017,36.074,129.27,5.5
2017,29.833,94.984,6.4
2017,2.465,128.148,5.8
2017,-21.638,168.673,6.3
2017,-21.503,168.598,6.6
2017,-21.325,168.672,7
2017,29.349,108.058,5.1
2017,30.765,57.331,6
2017,-7.734,108.023,6.5
2017,35.654,50.949,4.9
2017,35.692,50.9,4
2018,42.658,19.883,4.9
2018,34.649,45.799,5
2018,53.2,6.6,3.4
2018,17.474,-83.519,7.5
2018,33.764,45.749,5.5
2018,-15.776,-74.744,7.1
2018,-7.196,105.918,6
2018,56.046,-149.073,7.9
2018,36.543,70.816,6.1
2018,-1.756,-77.694,5.2
2018,24.174,121.653,6.4
2018,16.646,-97.653,7.2
2018,-6.068,142.768,7.5
2018,-6.182,142.492,6.1
2018,-6.307,142.62,6
2018,-6.294,142.607,6.7
2018,34.456,45.764,5.3
2018,8.346,-71.664,4.9
2018,-5.841,142.49,6.3
2018,35.262,132.541,5.6
2018,43.093,13.046,4.7
2018,-7.21,109.65,4.4
2018,37.596,38.514,5.2
2018,30.715,51.485,5.3
2018,-26.4,27.5,2.1
2018,19.37,-155.032,6.9
2018,50.11,18.71,4.1
2018,13.095,-88.099,5.6
2018,36.99,71.369,6.2
2018,-12.778,45.593,5.8
2018,45.279,124.557,5.1
2018,41.526,46.785,5.3
2018,1.032,-77.259,4.9
2018,34.833,135.612,5.5
2018,-0.965,100.771,5.2
2018,34.645,46.179,5.9
2018,-8.274,116.491,6.4
2018,-8.287,116.452,6.9
2018,-8.394,116.208,5.9
2018,24.322,102.941,5
2018,-18.178,-178.111,8.2
2018,-8.325,116.577,6.3
2018,-8.324,116.626,6.9
2018,10.855,-62.883,7.3
2018,34.663,46.277,6
2018,-22.066,170.05,7.1
2018,42.671,141.933,6.6
2018,-18.494,179.332,7.8
2018,28.342,59.315,5.5
2018,23.332,101.552,5.6
2018,26.374,90.165,5.3
2018,-0.178,119.84,7.5
2018,20.041,-72.975,5.9
2018,-7.456,114.453,6
2018,-21.743,169.522,6.5
2018,37.506,20.563,6.8
2018,-2.916,119.435,5.6
2018,34.304,45.74,6.3
2018,35.817,68.682,4.9
2018,61.34,-149.937,7
2018,-21.969,169.446,7.5
2018,-16.368,168.213,5.6
2018,28.264,104.991,5.4
2018,-20.644,32.801,5.5
2018,37.555,15.166,5.1
2019,28.261,104.984,5.2
2019,34.121,45.681,5.6
2019,51.52,16.09,3.8
2019,-30.074,-71.423,6.7
2019,50.08,18.39,3.4
2019,3.035,-75.738,5.6
2019,19.9,72.8,3.6
2019,14.763,-92.298,6.6
2019,40.892,48.602,5.1
2019,-2.199,-77.023,7.5
2019,29.498,104.632,4.9
2019,-1.301,101.601,5.4
2019,-14.684,-70.127,7
2019,-8.418,116.52,5.5
2019,-7.878,32.085,5.5
2019,-1.852,122.553,6.8
2019,23.989,121.693,6.1
2019,14.924,120.497,6.1
2019,-6.977,146.44,7.2
2019,-4.051,152.597,7.6
2019,45.205,124.611,4.8
2019,53.394,6.586,3.2
2019,-5.796,-75.298,8
2019,13.199,-89.306,6.6
2019,40.501,20.722,5.2
2019,-30.056,-72.082,6.4
2019,-30.805,-178.095,7.2
2019,28.405,104.957,5.8
2019,38.646,139.472,6.4
2019,50.287,18.997,3.1
2019,35.705,-117.506,6.4
2019,35.766,-117.605,7.1
2019,31.775,49.542,5.7
2019,6.802,125.169,5.6
2019,9.334,126.04,5.8
2019,-0.529,128.093,7.3
2019,38.115,23.505,5.3
2019,20,72.9,3.8
2019,20.807,121.986,6
2019,-7.267,104.825,6.9
2019,24.475,121.947,5.9
2019,37.948,29.697,5.8
2019,29.573,105.064,5.1
2019,41.381,19.454,5.6
2019,33.106,73.766,5.6
2019,-3.45,128.347,6.5
2019,40.89,28.173,5.7
2019,-40.815,-72.002,6.1
2019,-35.473,-73.162,6.8
2019,-3.65,128.216,5
2019,6.712,125.005,6.4
2019,6.802,125.04,6.6
2019,6.91,125.156,6.5
2019,37.808,47.558,
2019,-3.61,128.299,5
2019,1.6,126.416,7.1
2019,7.625,124.912,5.9
2019,22.96,106.711,5
2019,41.521,19.559,6.4
2019,6.708,125.188,6.8
2019,29.639,104.946,5.2
2020,17.916,-66.813,6.4
2020,39.831,77.106,6
2020,38.39,39.081,6.7
2020,19.44,-78.755,7.7
2020,38.482,44.367,6
2020,-6.808,106.676,5
2020,40.751,-112.078,5.7
2020,45.897,15.966,5.4
2020,48.986,157.693,7.5
2020,33.124,98.916,5.3
2020,34.205,25.712,6.6
2020,35.725,52.044,4.6
2020,27.296,103.281,5.2
2020,-8.058,114.242,
2020,2.923,128.248,6.4
2020,-9.634,-78.591,4.5
2020,39.421,40.697,5.9
2020,-33.294,-177.838,7.4
2020,16.029,-95.901,7.4
2020,38.558,44.023,5.4
